Time,Comment,Scramble,Date
18.300570011138916,"",U' L' U B' L' F B' L U L' U' F2 R2 U F2 B2 L2 F2,2025-01-29 11:30:32 +0000
21.42708110809326,"",F B2 R2 U' F2 U' L2 D' F2 D R' D B' F L2 B2 D2 L' B',2025-01-19 13:39:08 +0000
19.36795997619629,"",D' L2 U B2 R2 F U L2 U F' U2 F2 L2 F D2 F2 L U,2025-01-24 14:50:34 +0000
26.366510033607483,"",U' F2 L2 D B D F2 U R2 U2 R F U2 R2 B' R2 U2 D2 B,2025-01-29 15:47:47 +0000
30.900902032852173,"",F' L B U B2 D L U B2 D2 F2 U D F R2 U',2025-01-19 11:27:03 +0000
22.66382896900177,"",L' F D F2 R2 U' L2 B2 U2 B' L' B D' R2 F U B' R',2025-01-15 08:05:05 +0000
16.999815940856934,"",F' L2 F2 U L2 D' R2 F2 U F2 L' B L' D2 L2 R B R F2 L',2025-01-20 11:33:15 +0000
24.831688046455383,"",U2 F' B U R U2 F2 L2 F' L' U2 L2 D2 R2 U R2 L2 F,2025-01-27 06:19:16 +0000
22.601001977920532,"",U F2 L' D2 F' L2 R2 F' D2 F' R2 U B' D' L2 D2 B F,2025-01-30 08:54:40 +0000
21.91949701309204,"",L' D2 B R2 D L2 U' L2 U2 L2 U R D B' F U' B2 U' R',2025-01-17 06:02:28 +0000
21.73493492603302,"",R' F2 U L2 F' D2 R2 B2 F' L2 R2 D B' U F D L',2025-01-20 11:43:24 +0000
22.9673969745636,"",L' F2 R' B D2 B' L2 B2 U2 F2 D2 R' U' B R F2 R2 D U,2025-01-27 06:28:53 +0000
25.40005600452423,"",B' L2 B' F2 L2 U2 B D2 B2 D' B L U' B2 L2 U2 L F' U,2025-01-20 12:47:55 +0000
23.267120957374573,"",B2 U' R' U2 R' D2 L D F' R' F2 R2 D R2 D' L2 D' F2 D2,2025-01-27 09:59:26 +0000
18.133169054985046,"",R' L2 D L U2 D F R' U D' F2 D2 L2 F2 L F2 R' B2 L,2025-01-20 08:56:03 +0000
22.601431012153625,"",F2 D' R L' D2 F L D F B2 D2 B2 D' F2 R2 U2 D R2 D,2025-01-20 13:11:44 +0000
19.550680994987488,"",B L R2 D2 F2 R2 U2 B U2 R2 F2 L' D F2 D R2 D' R2 F,2025-01-27 11:15:42 +0000
23.165011048316956,"",F2 L2 F2 U2 R2 U2 B L2 R2 F' D' R D U R2 U2 R' F' U,2025-01-19 17:10:57 +0000
19.466827988624573,"",R L F' R' L' B R U R2 F2 B2 U B2 D2 B2 F U F L,2025-01-21 11:19:07 +0000
25.39994502067566,"",D' F U F L' B D B L F2 R2 U2 R U2 L' B2 R2 B2 L' D2,2025-01-28 07:58:42 +0000
26.800318956375122,"",L' R2 B D2 F D2 L2 F' R2 F' U2 R2 L' B U L2 B2 R U',2025-01-08 09:00:06 +0000
31.49571204185486,"",B2 U' B2 D2 L2 D2 L2 F2 U B U R D' B R F' D' U,2025-01-21 16:00:30 +0000
18.13392400741577,"",B2 U' F' L2 U2 R U2 B2 L F2 D2 F2 R' U' L' F' R' D' L' U,2025-01-28 11:33:05 +0000
25.40057110786438,"",B L2 R2 D2 B' L2 U2 F' R F' D L2 U R' D L2 F U L,2025-01-09 12:10:38 +0000
24.369816064834595,"",R2 F2 R' F2 D2 R2 U2 F' R2 B U2 R2 U' R D2 B' F2 D2 U,2025-01-19 17:08:24 +0000
19.823722004890442,"",U' D' L2 B' R2 F' L U2 F2 B2 R' D R2 F2 D R2 U D',2025-01-21 16:23:52 +0000
